task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	e2/986505	3225678	ASENEXT:INPUT_CHECK (samplesheet.csv)	COMPLETED	0	2025-06-25 12:13:01.733	72ms	30ms	110.3%	3.3 MB	225.7 MB	823 KB	718 B
2	b4/0c80db	3225790	ASENEXT:PREPARE_VCF (Sample_1)	COMPLETED	0	2025-06-25 12:13:01.869	446ms	1s	702.1%	5.8 MB	11.3 MB	179 KB	8.2 KB
4	26/7c4a17	3226172	ASENEXT:BCFTOOLS_VIEW (Sample_1)	COMPLETED	0	2025-06-25 12:13:02.335	359ms	0ms	544.8%	3.7 MB	14.5 MB	128 KB	2.1 KB
6	33/1a2bac	3226580	ASENEXT:BEAGLE5_BEAGLE (Sample_1)	COMPLETED	0	2025-06-25 12:13:02.725	680ms	1s	207.9%	6.2 MB	10.8 MB	9.2 MB	4.9 KB
7	3d/345849	3226908	ASENEXT:TABIX_INDEX (Sample_1)	COMPLETED	0	2025-06-25 12:13:03.421	201ms	0ms	13.0%	5.4 MB	11.3 MB	81 KB	622 B
3	5a/72001d	3225812	ASENEXT:FASTQC (Sample_1)	COMPLETED	0	2025-06-25 12:13:01.877	2.6s	2s	172.8%	241.3 MB	6.4 GB	11.7 MB	3.6 MB
5	c6/bcf0c4	3226192	ASENEXT:STAR_ALIGN_WASP (Sample_1)	COMPLETED	0	2025-06-25 12:13:02.344	2.8s	2.6s	95.2%	318.2 MB	2.3 GB	15.8 MB	561.3 KB
8	04/8f5ba3	3227475	ASENEXT:UMITOOLS_DEDUP (Sample_1)	FAILED	1	2025-06-25 12:13:05.199	3.4s	3.4s	-	-	-	-	-
