task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	cf/19de2c	3192186	ASENEXT:INPUT_CHECK (samplesheet.csv)	COMPLETED	0	2025-06-25 11:21:55.009	69ms	27ms	94.1%	3.2 MB	225.7 MB	823 KB	717 B
2	e7/93f8ba	3192317	ASENEXT:PREPARE_VCF (Sample_1)	COMPLETED	0	2025-06-25 11:21:55.172	1.2s	1s	354.5%	4.5 MB	10.8 MB	179.1 KB	8.2 KB
4	bf/2616c6	3192695	ASENEXT:BCFTOOLS_VIEW (Sample_1)	COMPLETED	0	2025-06-25 11:21:56.437	383ms	0ms	524.1%	3.6 MB	14.5 MB	128.1 KB	2.1 KB
5	0b/12b2c5	3192718	ASENEXT:STAR_ALIGN_WASP (Sample_1)	FAILED	104	2025-06-25 11:21:56.446	1.4s	1.4s	-	-	-	-	-
7	fd/ec2234	3193383	ASENEXT:STAR_ALIGN_WASP (Sample_1)	FAILED	104	2025-06-25 11:21:57.900	276ms	206ms	-	-	-	-	-
6	e7/6cec50	3193043	ASENEXT:BEAGLE5_BEAGLE (Sample_1)	FAILED	1	2025-06-25 11:21:56.847	1.3s	1.3s	-	-	-	-	-
8	28/7d682c	3193560	ASENEXT:STAR_ALIGN_WASP (Sample_1)	FAILED	104	2025-06-25 11:21:58.189	289ms	277ms	-	-	-	-	-
3	46/641d91	3192297	ASENEXT:FASTQC (Sample_1)	COMPLETED	0	2025-06-25 11:21:55.150	4.8s	4s	71.3%	213.7 MB	6.3 GB	11.9 MB	3.6 MB
