task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	24/7da840	3221677	ASENEXT:INPUT_CHECK (samplesheet.csv)	COMPLETED	0	2025-06-25 12:08:40.441	57ms	27ms	96.0%	3.3 MB	225.7 MB	823.1 KB	614 B
2	bf/989520	3221788	ASENEXT:PREPARE_VCF (Sample_1)	COMPLETED	0	2025-06-25 12:08:40.548	480ms	1s	589.6%	5.5 MB	11.3 MB	179 KB	8.2 KB
4	65/ea9b33	3222173	ASENEXT:BCFTOOLS_VIEW (Sample_1)	COMPLETED	0	2025-06-25 12:08:41.047	337ms	0ms	589.5%	3.7 MB	14.5 MB	128 KB	2.1 KB
6	a3/220e7f	3222550	ASENEXT:BEAGLE5_BEAGLE (Sample_1)	COMPLETED	0	2025-06-25 12:08:41.407	636ms	1s	216.8%	6.2 MB	10.8 MB	9.2 MB	4.9 KB
3	7e/954868	3221802	ASENEXT:FASTQC (Sample_1)	COMPLETED	0	2025-06-25 12:08:40.556	2.6s	3s	141.5%	240.4 MB	6.3 GB	11.7 MB	3.6 MB
5	0c/74cc9a	3222193	ASENEXT:STAR_ALIGN_WASP (Sample_1)	COMPLETED	0	2025-06-25 12:08:41.055	2.7s	2.6s	96.0%	318.3 MB	2.3 GB	15.8 MB	561.3 KB
7	93/eeb153	3223635	ASENEXT:TABIX_INDEX (Sample_1)	COMPLETED	0	2025-06-25 12:08:47.519	200ms	0ms	21.6%	5.7 MB	11.3 MB	81 KB	622 B
8	a9/b6f67e	3223305	ASENEXT:UMITOOLS_DEDUP (Sample_1)	FAILED	1	2025-06-25 12:08:43.885	5.1s	5.1s	-	-	-	-	-
