task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	dd/94a4db	3205428	ASENEXT:INPUT_CHECK (samplesheet.csv)	COMPLETED	0	2025-06-25 11:44:41.789	72ms	41ms	102.6%	3.3 MB	225.7 MB	823.1 KB	615 B
2	cf/93161d	3205541	ASENEXT:PREPARE_VCF (Sample_1)	COMPLETED	0	2025-06-25 11:44:41.915	443ms	0ms	677.9%	5.6 MB	11.3 MB	179.1 KB	8.2 KB
4	cd/d73177	3205919	ASENEXT:BCFTOOLS_VIEW (Sample_1)	COMPLETED	0	2025-06-25 11:44:42.379	350ms	0ms	556.5%	3.5 MB	12.3 MB	128.1 KB	2.1 KB
5	51/1c675b	3205945	ASENEXT:STAR_ALIGN_WASP (Sample_1)	FAILED	104	2025-06-25 11:44:42.392	374ms	306ms	-	-	-	-	-
7	ab/b5f4a6	3206340	ASENEXT:STAR_ALIGN_WASP (Sample_1)	FAILED	104	2025-06-25 11:44:42.790	315ms	257ms	-	-	-	-	-
6	73/25f266	3206295	ASENEXT:BEAGLE5_BEAGLE (Sample_1)	FAILED	1	2025-06-25 11:44:42.757	453ms	363ms	-	-	-	-	-
8	04/94405f	3206703	ASENEXT:STAR_ALIGN_WASP (Sample_1)	FAILED	104	2025-06-25 11:44:43.116	285ms	197ms	-	-	-	-	-
3	ec/c1e9ff	3205562	ASENEXT:FASTQC (Sample_1)	COMPLETED	0	2025-06-25 11:44:41.924	2.6s	2s	186.0%	239.5 MB	6.5 GB	11.7 MB	3.6 MB
